Name,AssetType,AssetPath,FolderCategory,ConstructionClass,RelationRole,SuggestedSupportType,PivotType,SnapToGround,ScaleLooksMetric,NeedsScaleCheck,PlacementNotes,ChildCount,RendererCount,MeshCount,MaterialCount,MaterialNames,HasCollider,ColliderCount,HasRigidbody,RigidbodyCount,HasAnimator,HasLegacyAnimation,AnimationClipCount,AnimationClipNames,SizeX,SizeY,SizeZ,Labels
"SM_ConcreteFloor01","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteFloor01.FBX","building","ground","support_anchor","ground","offset",False,True,False,"pivot may need placement offset correction",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",4.0029,0.3021,4.0024,""
"SM_ConcreteFloor02","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteFloor02.prefab","building","ground","support_anchor","ground","offset",False,True,False,"pivot may need placement offset correction",4,4,4,1,"M_Concrete",True,1,False,0,False,False,0,"",4.0025,0.3010,2.0200,""
"SM_ConcreteFloor02","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteFloor02.FBX","building","ground","support_anchor","ground","offset",False,True,False,"pivot may need placement offset correction",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",4.0029,0.3021,2.0200,""
"SM_ConcreteFloor03","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteFloor03.prefab","building","ground","support_anchor","ground","bottom_centered",False,True,False,"",4,4,4,1,"M_Concrete",True,1,False,0,False,False,0,"",1.7063,2.1040,4.0049,""
"SM_ConcreteFloor03","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteFloor03.FBX","building","ground","support_anchor","ground","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.7235,2.1457,4.0325,""
"SM_AsphaltRoller","Prefab","Assets/ConstructionSite/Prefab/ConstructionEquipment/SM_AsphaltRoller.prefab","constructionequipment","road_prop","dependent","place_on_ground_or_support","bottom_centered",True,True,False,"place on ground",5,5,5,2,"M_AsphaltRoller | M_Glass",True,1,False,0,False,False,0,"",6.2534,3.4236,4.4674,""
"SM_AsphaltRoller","Model","Assets/ConstructionSite/Meshes/ConstructionEquipment/SM_AsphaltRoller.FBX","constructionequipment","road_prop","dependent","place_on_ground_or_support","bottom_centered",True,True,False,"place on ground",6,6,6,1,"Lit",False,0,False,0,False,False,0,"",5.7216,3.4236,2.5574,""
"SM_ForkLift01","Prefab","Assets/ConstructionSite/Prefab/ConstructionEquipment/SM_ForkLift01.prefab","constructionequipment","vehicle_equipment","major_anchor","heavy_grounded","bottom_centered",True,True,False,"place on ground",5,5,5,2,"M_ForkLift01 | M_Glass",True,1,False,0,False,False,0,"",10.3039,4.5858,3.7396,""
"SM_ForkLift01","Model","Assets/ConstructionSite/Meshes/ConstructionEquipment/SM_ForkLift01.FBX","constructionequipment","vehicle_equipment","major_anchor","heavy_grounded","bottom_centered",True,True,False,"place on ground",6,6,6,1,"Lit",False,0,False,0,False,False,0,"",10.3170,4.6048,3.7581,""
"SM_ForkLift02","Prefab","Assets/ConstructionSite/Prefab/ConstructionEquipment/SM_ForkLift02.prefab","constructionequipment","vehicle_equipment","major_anchor","heavy_grounded","bottom_centered",True,True,False,"place on ground",5,5,5,2,"M_ForkLift01 | M_Glass",True,1,False,0,False,False,0,"",10.3086,4.5858,3.5825,""
"SM_ForkLift02","Model","Assets/ConstructionSite/Meshes/ConstructionEquipment/SM_ForkLift02.FBX","constructionequipment","vehicle_equipment","major_anchor","heavy_grounded","bottom_centered",True,True,False,"place on ground",6,6,6,1,"Lit",False,0,False,0,False,False,0,"",10.3086,4.5961,3.5825,""
"RoadTrack","Prefab","Assets/ConstructionSite/Prefab/Decal/RoadTrack.prefab","decal","road_prop","dependent","place_on_ground_or_support","unknown",True,True,False,"place on ground",1,1,1,1,"M_RoadTrack",True,1,False,0,False,False,0,"",5.0000,0.0000,1.0000,""
"Dirt","Prefab","Assets/ConstructionSite/Prefab/Decal/Dirt.prefab","decal","unclassified","unknown","unknown","unknown",False,True,False,"",1,1,1,1,"M_Dirt",True,1,False,0,False,False,0,"",5.0000,0.0000,2.5000,""
"TrashDecal01","Prefab","Assets/ConstructionSite/Prefab/Decal/TrashDecal01.prefab","decal","unclassified","unknown","unknown","unknown",False,True,False,"",1,1,1,1,"M_TrashDecal01",True,1,False,0,False,False,0,"",2.0000,0.0000,2.0000,""
"TrashDecal02","Prefab","Assets/ConstructionSite/Prefab/Decal/TrashDecal02.prefab","decal","unclassified","unknown","unknown","unknown",False,True,False,"",1,1,1,1,"M_TrashDecal02",True,1,False,0,False,False,0,"",2.0000,0.0000,2.0000,""
"TrashDecal03","Prefab","Assets/ConstructionSite/Prefab/Decal/TrashDecal03.prefab","decal","unclassified","unknown","unknown","unknown",False,True,False,"",1,1,1,1,"M_TrashDecal03",True,1,False,0,False,False,0,"",2.0000,0.0000,2.0000,""
"SM_Door01_1","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door01_1.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1002,2.1086,0.2871,""
"SM_Door01_1","Model","Assets/ConstructionSite/Meshes/Building/Door/SM_Door01_1.FBX","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1023,2.1100,0.2871,""
"SM_Door01_2","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door01_2.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1002,2.1086,0.2871,""
"SM_Door01_2","Model","Assets/ConstructionSite/Meshes/Building/Door/SM_Door01_2.FBX","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1023,2.1100,0.2871,""
"SM_Door01_3","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door01_3.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1002,2.1086,0.2871,""
"SM_Door01_3","Model","Assets/ConstructionSite/Meshes/Building/Door/SM_Door01_3.FBX","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1023,2.1100,0.2871,""
"SM_Door02_1","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door02_1.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1002,2.1086,0.2871,""
"SM_Door02_1","Model","Assets/ConstructionSite/Meshes/Building/Door/SM_Door02_1.FBX","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1023,2.1100,0.2871,""
"SM_Door02_2","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door02_2.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1002,2.1086,0.2871,""
"SM_Door02_2","Model","Assets/ConstructionSite/Meshes/Building/Door/SM_Door02_2.FBX","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1023,2.1100,0.2871,""
"SM_Door02_3","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door02_3.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1002,2.1086,0.2871,""
"SM_Door02_3","Model","Assets/ConstructionSite/Meshes/Building/Door/SM_Door02_3.FBX","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1023,2.1100,0.2871,""
"SM_Door03_1","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door03_1.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1912,2.1086,0.2637,""
"SM_Door03_1","Model","Assets/ConstructionSite/Meshes/Building/Door/SM_Door03_1.FBX","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1912,2.1100,0.2637,""
"SM_Door03_2","Prefab","Assets/ConstructionSite/Prefab/Building/Door/SM_Door03_2.prefab","door","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Doors",True,1,False,0,False,False,0,"",1.1912,2.1086,0.2637,""
